Feature,Coefficient,Absolute
numeric__V127,-1830.0822225433028,1830.0822225433028
numeric__V128,1776.901507365547,1776.901507365547
numeric__V133,1276.7861066547762,1276.7861066547762
numeric__V134,-1185.1289271870005,1185.1289271870005
numeric__V264,1147.53004715146,1147.53004715146
numeric__V137,-1090.002033510052,1090.002033510052
numeric__V136,866.9505128831943,866.9505128831943
categorical__R_emaildomain_netzero.com,596.7402041779787,596.7402041779787
numeric__V130,545.0455966716058,545.0455966716058
numeric__V267,-517.2457721485384,517.2457721485384
numeric__V265,-513.9764524213953,513.9764524213953
numeric__V214,-510.1458026717378,510.1458026717378
numeric__V218,-482.16800139229196,482.16800139229196
numeric__V274,-448.27838070255495,448.27838070255495
numeric__V131,-391.86595772076754,391.86595772076754
categorical__DeviceInfo_LGMS330 Build/LMY47V,377.9177018263635,377.9177018263635
numeric__V96,336.5895857623303,336.5895857623303
numeric__V278,320.1534061453824,320.1534061453824
numeric__V224,279.1936961675634,279.1936961675634
numeric__V202,274.34283579795436,274.34283579795436
categorical__id_33_2304x1440,-248.25264367046722,248.25264367046722
numeric__V102,-246.5661749950376,246.5661749950376
numeric__V277,-241.19611476032264,241.19611476032264
numeric__V126,-236.65061781717432,236.65061781717432
categorical__DeviceInfo_SM-G530T,236.56529058362375,236.56529058362375
categorical__DeviceInfo_XT1710-02 Build/NDSS26.118-23-15,216.4901900676738,216.4901900676738
numeric__V280,213.34259903620932,213.34259903620932
categorical__DeviceInfo_SAMSUNG-SM-G935A Build/NRD90M,206.25754639159464,206.25754639159464
numeric__V295,-199.4069817256589,199.4069817256589
categorical__DeviceInfo_SM-T377P Build/NMF26X,191.98324459841842,191.98324459841842
numeric__V275,190.61917272275863,190.61917272275863
categorical__DeviceInfo_MDDRJS,176.90727787615074,176.90727787615074
categorical__id_33_960x640,-175.56092462184367,175.56092462184367
numeric__V268,171.4752858198333,171.4752858198333
numeric__V135,169.88441772825863,169.88441772825863
categorical__DeviceInfo_Z970,168.807575249357,168.807575249357
categorical__id_33_3840x2400,-164.7032444413089,164.7032444413089
categorical__DeviceInfo_Lenovo-A6020l36 Build/LMY47V,163.21475796505035,163.21475796505035
categorical__DeviceInfo_SAMSUNG SM-G935F Build/MMB29K,162.06865931953166,162.06865931953166
categorical__DeviceInfo_KFJWI,156.27564113113132,156.27564113113132
numeric__V219,154.30328150732217,154.30328150732217
categorical__id_33_3440x1440,-148.76944512522059,148.76944512522059
categorical__id_30_Mac OS X 10_6_8,148.36050517248904,148.36050517248904
categorical__DeviceInfo_SM-T827V Build/NRD90M,144.71687588738658,144.71687588738658
numeric__V319,144.0343163459918,144.0343163459918
numeric__V99,-143.39193549353058,143.39193549353058
categorical__id_33_2048x1152,-142.74588102116343,142.74588102116343
categorical__DeviceInfo_SAMSUNG SM-G920P Build/NRD90M,142.39296788985658,142.39296788985658
categorical__DeviceInfo_SAMSUNG SM-G891A Build/NRD90M,140.6671259669208,140.6671259669208
categorical__id_30_Mac OS X 10_12,137.47447635396935,137.47447635396935
numeric__V254,135.21521210515797,135.21521210515797
categorical__id_31_silk,134.9482734356702,134.9482734356702
categorical__id_33_1536x1152,-134.84645165002178,134.84645165002178
categorical__id_33_1366x1024,-134.74856545941458,134.74856545941458
categorical__DeviceInfo_rv:49.0,-131.0381670323758,131.0381670323758
numeric__V258,-130.15807988814132,130.15807988814132
categorical__id_31_firefox 56.0,128.0701424686287,128.0701424686287
categorical__ProductCD_W,127.19716659047626,127.19716659047626
numeric__V321,126.9972874692474,126.9972874692474
numeric__V156,125.6431405513114,125.6431405513114
categorical__id_33_1600x1200,-124.95804366240914,124.95804366240914
categorical__id_33_2112x1188,-124.19742703629181,124.19742703629181
numeric__V149,-123.92061772250638,123.92061772250638
categorical__DeviceInfo_XT1580,123.81448488387143,123.81448488387143
numeric__V148,123.7653989227994,123.7653989227994
