Feature,Importance
numeric__V258,0.01873647597140142
numeric__V255,0.015337193835936604
numeric__C1,0.01284490808746883
numeric__V245,0.01208544834900637
numeric__C4,0.01204202861680237
numeric__V45,0.011683921588873245
numeric__V198,0.011574937168240138
numeric__C12,0.011565984896017328
numeric__V201,0.011409852074332547
numeric__C13,0.010729626443086514
numeric__V243,0.010228098528954963
numeric__V259,0.01016829428086719
numeric__V197,0.009326567794404817
numeric__C11,0.009161952029229797
numeric__C14,0.0090662056152311
numeric__C8,0.00897877997064544
numeric__V189,0.008911243267184952
numeric__V257,0.008900545487771661
numeric__V87,0.008820518126845263
numeric__C7,0.008477832462119991
numeric__C2,0.008372233548717243
numeric__V294,0.008342197207056113
numeric__V291,0.008079858217493185
numeric__V200,0.00789643976530135
numeric__V317,0.007841843712573387
numeric__V195,0.007822911554208653
numeric__V188,0.007800087571841157
numeric__V148,0.0073205382739962325
numeric__V256,0.006960680007605291
numeric__V250,0.006403873937531826
numeric__V246,0.006374836157355604
numeric__V315,0.006041622566585361
numeric__V274,0.005997070771371783
numeric__V318,0.005679979431029605
numeric__C10,0.0055664089076572455
numeric__TransactionDT,0.005553670967037852
numeric__V252,0.005523073695606403
numeric__V308,0.005434085947566742
numeric__V265,0.005431767270944822
numeric__V23,0.005383939220770596
numeric__card1,0.00532508326203457
numeric__C6,0.005259064277895212
numeric__addr1,0.005153365095841333
categorical__M4_M2,0.005142862845793184
numeric__V273,0.00510404544209058
numeric__V24,0.005035094590344172
numeric__id_01,0.005028824658846663
numeric__id_02,0.005021751821947544
numeric__card3,0.004947194485089651
numeric__V125,0.0047718710396897485
numeric__V283,0.00473104554601061
numeric__V231,0.004705387123265621
numeric__V44,0.004689612756157194
numeric__V275,0.004654906359459435
numeric__V307,0.004607094969493122
categorical__DeviceInfo_LG-D680 Build/KOT49I,0.004561553447490023
numeric__V196,0.004498826277780834
categorical__card6_debit,0.004452836975855407
numeric__id_17,0.004415366411631554
numeric__V86,0.0043458859574301255
numeric__D2,0.004325440047152521
categorical__id_35_T,0.0043203777869295044
numeric__V313,0.0042367761525723205
numeric__V232,0.0041870660379671135
numeric__V306,0.004173002029058359
numeric__V186,0.004155628838357727
numeric__V254,0.004152573177928494
numeric__V280,0.004088567783692094
numeric__card2,0.00407816277839916
numeric__V213,0.004066447916841639
numeric__D15,0.004021867715172064
numeric__id_20,0.004009723149604144
numeric__card5,0.00396799495941391
numeric__V312,0.003966970546998642
numeric__V219,0.003825381954823877
numeric__V133,0.0038180071849242604
numeric__V103,0.0037998310698701145
numeric__V38,0.003757116264384116
numeric__V128,0.003732699530436176
numeric__V149,0.003728683571170072
numeric__V155,0.0037038595643280755
numeric__V229,0.003702257875470048
numeric__id_19,0.003701015533482639
numeric__V102,0.003700083637370607
numeric__V156,0.0036856695519697277
numeric__D4,0.003684655499880557
numeric__V194,0.0036316613251863848
numeric__V295,0.0036119187549108534
numeric__V12,0.0035674462308851363
numeric__V244,0.003545303830619812
numeric__V123,0.00347510843390763
numeric__D8,0.0034579737493678976
numeric__V242,0.0034058537088277117
numeric__D1,0.003378792762769607
numeric__V212,0.0032658025588223234
numeric__V261,0.003228766572307232
numeric__V303,0.0032139888222694536
numeric__V224,0.003200146633338875
numeric__V53,0.0031837975726288826
numeric__V253,0.003154476315578919
numeric__D10,0.0031494670153079233
numeric__V132,0.003128197740302107
numeric__V129,0.003111867523258065
numeric__V247,0.00305663328820832
numeric__V251,0.003049177704346318
numeric__V309,0.003036130894824008
numeric__V293,0.0029814837857987646
numeric__D12,0.0029705730018370364
numeric__V264,0.0029174350831429312
numeric__D3,0.0029104892251396327
numeric__id_06,0.002873570098910852
numeric__V190,0.0028400668928768667
numeric__V282,0.0028225273164438546
numeric__id_05,0.0028219186018701536
numeric__id_07,0.0028200434062085333
numeric__D9,0.002818784400264286
numeric__V268,0.0027454462249986255
numeric__V126,0.0027205194961099004
numeric__V262,0.0026807989097493213
numeric__V51,0.0026766790638879713
numeric__V80,0.0026385266604520854
